2017-06-01 09:28:21.589 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 09:28:21.761 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:28:21.792 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:28:21.792 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:28:21.808 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 09:28:31.292 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 09:28:31.323 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 09:29:10.749 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:29:12.724 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 09:29:12.905 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 09:29:13.275 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 09:29:13.364 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:29:13.411 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:29:13.411 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:29:13.442 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 09:29:18.999 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 09:29:19.030 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 09:30:31.037 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:30:32.884 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 09:30:33.022 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 09:30:33.538 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 09:30:33.850 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:30:34.022 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:30:34.022 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:30:34.069 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 09:30:57.506 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 09:30:57.538 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 09:32:50.689 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:33:57.011 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:58:51.250 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 09:58:53.773 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 09:58:53.856 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 09:58:54.424 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 09:58:54.690 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:58:54.753 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:58:54.768 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 09:58:54.924 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 09:59:07.502 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 09:59:07.518 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 09:59:57.637 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 10:01:46.920 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 10:01:48.653 INFO  NServiceBus.LicenseManager License expires on 29/6/2017 12:00:00 AM
2017-06-01 10:01:48.719 WARN  NServiceBus.Transport.SQLServer.SqlConnectionFactory Minimum and Maximum connection pooling values are not configured on the provided connection string.
2017-06-01 10:01:48.818 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CLOUD9\abgeier' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CLOUD9\abgeier" /add
2017-06-01 10:01:48.917 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 10:01:48.919 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 10:01:48.921 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-01 10:01:48.942 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-01 10:01:51.886 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-06-01 10:01:51.901 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-06-01 10:03:05.552 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
2017-06-01 10:16:13.915 INFO  DefaultFactory Logging to 'C:\Ben\RetailDemo_Downloaded\ClientUI\bin\Debug\' with level Info
